epoch,psnr,ssim,mae
1,9.726652279496193,0.16819270640371542,0.348411051556468
2,0.7539024669677019,0.008477097173710035,1.649065263569355
3,4.483075737953186,0.046293730222672025,1.0082925260066986
4,14.049254581332207,0.3105325903643461,0.274771012365818
5,11.040537841618061,0.24517860731202745,0.39863659627735615
6,12.299958318471909,0.2888566239226975,0.3429196923971176
7,9.136324152350426,0.1994639476587281,0.5288844779133797
8,4.442020207643509,0.07237592343912524,0.9704848453402519
9,8.63007977604866,0.2008478828850997,0.5515116043388844
10,12.193661630153656,0.2881109879683663,0.34854445792734623
11,16.638367027044296,0.43860707797284704,0.19230865873396397
12,6.132230497896671,0.11798634165410249,0.7810667380690575
13,10.071258321404457,0.2568085342912809,0.4523968230932951
14,13.283006697893143,0.3508226749564187,0.28851066902279854
15,7.069004401564598,0.1521325355526244,0.6636070795357227
16,16.85222141444683,0.42356385475613934,0.1898378198966384
17,6.689330339431763,0.17289032258282333,0.6721398681402206
18,12.836354747414589,0.32783201215053737,0.3051664512604475
19,6.9755446165800095,0.1319319343720302,0.6880201175808907
20,16.10913172364235,0.45850495894046617,0.20435660239309072
21,11.625865250825882,0.30548923566338715,0.36022433266043663
22,12.715114280581474,0.3299330387004602,0.3214672636240721
23,16.068955808877945,0.392162339110655,0.21340632438659668
24,11.0626520216465,0.26374150634353555,0.392278503626585
25,11.372158899903297,0.3038234720260675,0.3769277483224869
26,13.257823139429092,0.36776246179761074,0.287294527515769
27,15.539554879069328,0.3909952107715071,0.22384516336023808
28,15.803523063659668,0.44453405080275843,0.20910538267344236
29,14.676589518785477,0.4044884655431815,0.2434831913560629
30,6.915428936481476,0.138135149753424,0.7131995633244514
31,16.51068925857544,0.4595781296302448,0.1899052271619439
32,15.560372769832611,0.39924526078903,0.23549452424049377
33,16.942633092403412,0.45812194614700275,0.1811691913753748
34,16.43599882721901,0.45987808702193433,0.19838199950754642
35,11.014175787568092,0.31426189516037084,0.37602830305695534
36,11.515996158123016,0.3163089879755603,0.37921941839158535
37,16.35748565196991,0.4532628372653562,0.1979418871924281
38,16.915015503764153,0.47310793560245656,0.18002999760210514
39,16.64609171450138,0.4458318635588512,0.18876804038882256
40,13.065231591463089,0.401506663504847,0.28647587914019823
41,16.383123099803925,0.4638003491542122,0.20059668365865946
42,16.33401781320572,0.43639876129236654,0.20166811347007751
43,16.30081482231617,0.43051740975352004,0.198865101672709
44,16.241893842816353,0.45500489260302857,0.19878611620515585
45,17.345282956957817,0.49495262029449805,0.170535190962255
46,16.993698179721832,0.4795107299578376,0.17601480893790722
47,17.331779077649117,0.48284366095322184,0.17211221531033516
48,16.68812245130539,0.4502494496991858,0.19096301775425673
49,7.06092644482851,0.17820281474425492,0.666333369910717
50,15.034748986363411,0.4476823307495579,0.22410254832357168
51,16.730245426297188,0.4676881984632928,0.18162204418331385
52,15.82609012722969,0.4421928151459724,0.20509860944002867
53,16.114139333367348,0.40133210551903176,0.20487305708229542
54,17.400361746549606,0.4712329686199155,0.17255079187452793
55,16.05706363916397,0.4385435277729357,0.20574853289872408
56,14.944673553109169,0.45105727086775005,0.22371538542211056
57,16.1626099050045,0.4601935415216758,0.2024848060682416
58,16.148839965462685,0.45765719566315965,0.20000602677464485
59,16.213300228118896,0.4690970058727544,0.19483035989105701
60,7.491772323846817,0.18766646883400995,0.6259067542850971
61,16.440958455204964,0.4627746321129962,0.19665117003023624
62,17.540559470653534,0.4903410562546924,0.16625405009835958
63,17.09208346903324,0.498210370868037,0.17125970590859652
64,15.455435961484909,0.431235821764858,0.22345359064638615
65,16.511307060718536,0.47159416184877045,0.1916237808763981
66,16.952122747898102,0.48715538345732057,0.1786878388375044
67,17.37279511988163,0.4906169977445103,0.1716372175142169
68,17.24808655679226,0.5062979688227642,0.1699969619512558
69,16.68407693505287,0.47392135479458375,0.1863441150635481
70,17.629355490207672,0.5018280502699781,0.16855925973504782
71,17.753141224384308,0.5103676007238391,0.16172894090414047
72,16.41826570034027,0.48604977358991164,0.18709911219775677
73,17.41640254855156,0.49313951317890314,0.17128351796418428
74,14.226671531796455,0.42419839390458947,0.2502820258960128
75,17.729751393198967,0.5110772863845341,0.16089292336255312
76,17.986677959561348,0.518482899722585,0.15618821140378714
77,17.690539434552193,0.5218918325190316,0.16131737921386957
78,16.47044911980629,0.497802663478069,0.18653268553316593
79,17.920500338077545,0.521241330480791,0.15574647020548582
80,16.039382368326187,0.45982880733936327,0.2014187378808856
81,17.958289682865143,0.5369049514047219,0.15411711391061544
82,17.915543541312218,0.5284195257117972,0.1550368508324027
83,17.422666400671005,0.5125423820063588,0.16818453278392553
84,17.991008386015892,0.5305244881747058,0.15342921391129494
85,18.107266426086426,0.5327582267636899,0.15292033087462187
86,18.265351802110672,0.5301992299282574,0.15036376006901264
87,17.77848556637764,0.5201872223442479,0.1573484754189849
88,17.12934486567974,0.5075302810946596,0.17100423481315374
89,17.645501121878624,0.5188770294626011,0.15994707308709621
90,18.096479326486588,0.5340950194913603,0.1521240370348096
91,17.65716016292572,0.5207971051859204,0.16003015358000994
92,17.921179607510567,0.5272398167726351,0.15469552110880613
93,17.84132368862629,0.5294334272693959,0.15528653655201197
94,17.877053543925285,0.5307303896915982,0.15501062013208866
95,17.95971840620041,0.5290031173062744,0.15464885905385017
96,18.09248000383377,0.5327597327486728,0.15211339853703976
97,17.98830382525921,0.5322295912483241,0.15284878760576248
98,17.940792217850685,0.5302474919299129,0.15414518304169178
99,17.895802333950996,0.5288687577194651,0.15440135076642036
100,17.93275274336338,0.5292294325190596,0.15487221907824278
